Project Name ,test file,classes,path
archiva,RepositoryRegistryMock.java,RepositoryRegistryMock,archiva/archiva-modules/archiva-maven/archiva-maven-repository/src/test/java/org/apache/archiva/maven/repository/mock/RepositoryRegistryMock.java
archiva,ArchivaIndexManagerMock.java,ArchivaIndexManagerMock,archiva/archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/mock/ArchivaIndexManagerMock.java
archiva,MavenIndexContextMock.java,MavenIndexContextMock,archiva/archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/mock/MavenIndexContextMock.java
archiva,MockArchivaAdministration.java,MockArchivaAdministration,archiva/archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/mock/MockArchivaAdministration.java
archiva,MockRemoteRepositoryAdmin.java,MockRemoteRepositoryAdmin,archiva/archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/mock/MockRemoteRepositoryAdmin.java
archiva,MockBeanServices.java,MockBeanServices,archiva/archiva-modules/archiva-web/archiva-security/src/test/java/org/apache/archiva/security/mock/MockBeanServices.java
archiva,MockInvalidRepositoryContentConsumer.java,MockInvalidRepositoryContentConsumer,archiva/archiva-modules/archiva-web/archiva-test-mocks/src/main/java/org/apache/archiva/web/mocks/MockInvalidRepositoryContentConsumer.java
archiva,MockServletAuthenticator.java,MockServletAuthenticator,archiva/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/MockServletAuthenticator.java
archiva,MockRepositoryStorage.java,MockRepositoryStorage,archiva/archiva-modules/metadata/metadata-store-provider/metadata-store-cassandra/src/test/java/org/apache/archiva/metadata/repository/cassandra/MockRepositoryStorage.java
aries,MockQuiesceParticipant.java,MockQuiesceParticipant,aries/quiesce/quiesce-manager-itest/src/test/java/org/apache/aries/quiesce/manager/itest/MockQuiesceParticipant.java
axis-axis2-java-core,MockFlow.java,MockFlow,axis-axis2-java-core/modules/integration/test/org/apache/axis2/engine/MockFlow.java
axis-axis2-java-core,ClassFinderImplTest.java,MockUCL,axis-axis2-java-core/modules/jaxws/test/org/apache/axis2/jaxws/message/databinding/impl/ClassFinderImplTest.java
axis-axis2-java-core,MockFlow.java,MockFlow,axis-axis2-java-core/modules/kernel/test/org/apache/axis2/description/MockFlow.java
axis-axis2-java-core,MockAxisHttpResponse.java,MockAxisHttpResponse,axis-axis2-java-core/modules/transport/http/test/org/apache/axis2/transport/http/mock/MockAxisHttpResponse.java
axis-axis2-java-core,MockHttpServletResponse.java,MockHttpServletResponse,axis-axis2-java-core/modules/transport/http/test/org/apache/axis2/transport/http/mock/MockHttpServletResponse.java
axis-axis2-java-core,MockEchoEndpoint.java,MockEchoEndpoint,axis-axis2-java-core/modules/transport/jms/src/test/java/org/apache/axis2/transport/jms/MockEchoEndpoint.java
beam,MockClock.java,MockClock,beam/runners/direct-java/src/test/java/org/apache/beam/runners/direct/MockClock.java
